Date,Open,High,Low,Adj. Close,Volume
2019-01-02,79.787,79.787,78.119,78.119,87080.0
2019-01-03,79.436,79.875,77.593,78.295,55310.0
2019-01-04,78.295,78.295,75.486,77.768,96940.0
2019-01-07,78.558,79.699,76.978,77.768,92970.0
2019-01-08,77.768,77.768,77.241,77.417,36610.0
2019-01-09,75.486,78.997,75.486,78.119,100610.0
2019-01-10,77.329,79.085,77.329,78.558,49800.0
2019-01-11,79.348,79.787,78.558,79.348,32020.0
2019-01-14,79.26,79.26,77.241,77.68,26560.0
2019-01-15,77.68,78.47,77.329,77.856,42400.0
2019-01-16,78.909,78.997,77.944,78.997,41990.0
2019-01-17,78.997,81.104,78.997,80.665,51470.0
2019-01-18,79.085,80.752,79.085,80.665,38310.0
2019-01-21,80.752,81.191,79.875,80.752,22660.0
2019-01-22,81.104,81.104,78.997,78.997,57790.0
2019-01-23,80.665,80.665,78.997,79.611,39100.0
2019-01-24,79.875,80.314,78.997,79.26,33490.0
2019-01-25,79.26,80.752,79.26,80.665,21490.0
2019-01-28,82.42,82.42,80.752,81.718,39180.0
2019-01-29,82.069,82.859,80.84,82.859,51580.0
2019-01-30,79.524,84.966,79.524,84.702,125610.0
2019-01-31,85.141,85.141,80.928,80.928,79540.0
2019-02-01,84.263,84.263,81.894,84.0,54770.0
2019-02-11,83.386,84.0,83.386,83.825,64480.0
2019-02-12,83.825,83.825,83.386,83.473,77860.0
2019-02-13,83.825,86.019,82.947,84.702,111960.0
2019-02-14,85.141,86.458,84.527,84.527,122040.0
2019-02-15,85.141,85.756,83.386,83.825,88230.0
2019-02-18,83.825,84.966,80.928,81.63,91670.0
2019-02-19,82.069,83.298,81.718,82.683,30770.0
2019-02-20,82.683,84.702,82.508,84.263,88130.0
2019-02-21,84.263,84.263,83.561,83.737,114100.0
2019-02-22,84.263,85.931,83.386,84.702,147330.0
2019-02-25,84.702,85.492,83.035,83.298,180880.0
2019-02-26,83.298,84.176,81.63,81.806,114570.0
2019-02-27,82.508,83.825,81.894,83.561,74070.0
2019-02-28,83.561,84.088,82.157,82.508,153040.0
2019-03-01,82.947,82.947,81.894,82.245,56320.0
2019-03-04,82.245,84.966,82.245,84.702,119450.0
2019-03-05,83.473,86.37,83.473,86.282,300850.0
2019-03-06,86.282,86.458,85.405,86.019,73310.0
2019-03-07,86.194,86.458,84.702,84.79,92910.0
2019-03-08,83.825,84.263,83.386,83.737,49270.0
2019-03-11,84.351,84.351,83.737,83.912,92780.0
2019-03-12,84.088,84.878,84.0,84.088,199160.0
2019-03-13,84.702,85.141,84.176,84.263,158480.0
2019-03-14,84.263,85.58,84.263,84.351,101300.0
2019-03-15,84.263,85.229,84.263,84.527,485910.0
2019-03-18,84.527,85.141,83.386,83.386,122480.0
2019-03-19,84.263,84.263,83.122,83.649,203310.0
2019-03-20,83.649,85.931,83.649,85.668,219060.0
2019-03-21,85.141,86.194,84.263,84.263,81670.0
2019-03-22,83.912,84.702,83.912,84.351,72660.0
2019-03-25,84.351,84.351,83.825,83.825,76750.0
2019-03-26,83.825,84.088,83.035,83.035,75260.0
2019-03-27,83.825,84.702,83.21,84.0,47500.0
2019-03-28,84.263,84.615,81.63,84.263,39030.0
2019-03-29,84.263,85.492,83.386,83.386,148060.0
2019-04-01,84.263,84.263,82.508,83.386,75410.0
2019-04-02,83.386,84.439,82.157,82.771,71220.0
2019-04-03,82.508,83.298,81.191,81.63,109810.0
2019-04-04,82.069,82.596,81.63,82.508,48150.0
2019-04-05,82.508,82.596,82.245,82.245,21140.0
2019-04-08,82.508,82.859,82.42,82.596,67060.0
2019-04-09,83.386,83.386,82.596,83.386,141630.0
2019-04-10,82.947,83.298,81.63,82.947,36060.0
2019-04-11,82.42,82.947,82.157,82.42,46900.0
2019-04-12,82.508,82.508,81.016,81.016,115230.0
2019-04-16,81.016,81.016,78.997,80.138,40520.0
2019-04-17,79.436,81.542,79.348,80.05,95820.0
2019-04-18,80.752,80.752,79.699,79.875,45450.0
2019-04-19,79.875,80.84,79.875,80.314,14560.0
2019-04-22,80.314,80.314,78.997,79.26,22920.0
2019-04-23,78.119,80.577,78.119,80.577,30600.0
2019-04-24,79.875,80.752,79.787,79.787,16560.0
2019-04-25,79.524,80.752,78.47,78.47,102270.0
2019-04-26,78.47,78.47,76.715,77.768,90340.0
2019-05-02,72.326,72.326,72.326,72.326,164290.0
2019-05-03,67.323,67.323,67.323,67.323,86250.0
2019-05-06,62.671,66.708,62.671,63.987,1977550.0
2019-05-07,64.075,67.586,63.987,67.586,855180.0
2019-05-08,67.586,68.025,65.567,65.831,518130.0
2019-05-09,64.514,65.392,63.197,63.9,1060210.0
2019-05-10,64.075,64.953,63.461,64.339,470440.0
2019-05-13,64.339,67.411,64.339,66.796,724890.0
2019-05-14,65.655,68.464,65.655,68.288,826240.0
2019-05-15,68.464,69.517,68.464,69.342,571120.0
2019-05-16,69.342,69.781,68.288,68.464,523210.0
2019-05-17,68.376,69.342,68.376,68.815,455930.0
2019-05-20,68.464,69.254,68.376,68.991,393580.0
2019-05-21,69.078,70.044,69.078,69.517,439050.0
2019-05-22,69.342,69.956,68.552,68.727,341030.0
2019-05-23,68.464,69.078,68.376,68.991,238050.0
2019-05-24,68.464,68.815,66.708,67.762,452390.0
2019-05-27,67.762,68.025,66.972,66.972,195810.0
2019-05-28,66.972,67.586,66.094,66.972,278150.0
2019-05-29,66.796,67.674,66.708,67.674,183860.0
2019-05-30,68.113,68.376,67.586,68.025,289570.0
2019-05-31,66.972,68.025,66.972,67.411,320170.0
2019-06-03,65.831,68.025,65.831,67.85,384090.0
2019-06-04,67.586,68.376,67.498,68.288,325360.0
2019-06-05,68.288,68.464,68.201,68.288,318460.0
2019-06-06,67.674,68.288,67.674,68.288,163610.0
2019-06-07,68.113,68.903,68.113,68.727,305770.0
2019-06-10,68.991,69.781,68.991,69.342,370010.0
2019-06-11,69.342,70.132,68.727,70.044,394630.0
2019-06-12,70.132,71.009,69.342,70.483,578310.0
2019-06-13,70.219,70.307,69.693,70.219,218690.0
2019-06-14,69.868,71.009,69.868,70.219,431440.0
2019-06-17,70.219,70.658,69.342,70.658,259530.0
2019-06-18,70.219,70.746,69.781,70.658,378680.0
2019-06-19,70.395,70.658,69.781,70.044,180940.0
2019-06-20,70.219,70.571,69.781,70.571,389260.0
2019-06-21,70.395,70.483,69.781,69.781,483210.0
2019-06-24,69.605,70.658,68.903,70.483,566940.0
2019-06-25,70.307,70.571,70.132,70.307,261160.0
2019-06-26,70.219,70.922,69.781,70.922,481930.0
2019-06-27,70.922,71.887,70.746,71.009,251800.0
2019-06-28,70.483,71.097,70.483,70.922,130010.0
2019-07-01,70.746,71.273,70.483,71.185,188730.0
2019-07-02,70.922,71.448,70.922,71.361,168710.0
2019-07-03,71.361,72.589,71.097,72.589,440630.0
2019-07-04,72.589,73.028,72.15,72.589,167950.0
2019-07-05,72.853,73.028,71.975,72.765,106450.0
2019-07-08,72.853,73.028,72.414,72.765,199930.0
2019-07-09,72.765,73.204,72.677,73.204,188400.0
2019-07-10,73.204,74.345,73.116,74.257,284930.0
2019-07-11,74.257,74.52,74.257,74.52,143890.0
2019-07-12,74.52,75.135,74.52,74.52,192430.0
2019-07-15,74.433,74.696,72.853,73.994,163750.0
2019-07-16,73.292,75.837,73.292,75.837,204330.0
2019-07-17,75.661,77.768,75.223,77.241,441090.0
2019-07-18,76.364,77.066,75.31,75.31,372910.0
2019-07-19,75.398,75.398,73.643,74.169,338310.0
2019-07-22,73.994,75.31,73.379,75.31,71060.0
2019-07-23,74.608,75.486,73.906,73.906,157410.0
2019-07-24,73.994,74.784,73.643,74.784,127290.0
2019-07-25,74.257,74.784,73.906,74.433,170270.0
2019-07-26,74.257,75.223,74.257,74.959,225070.0
2019-07-29,74.784,75.31,74.169,75.047,151520.0
2019-07-30,74.608,75.135,74.345,74.872,153390.0
2019-07-31,74.696,74.872,73.643,73.73,117780.0
2019-08-01,73.73,74.608,73.379,73.906,147320.0
2019-08-02,73.906,73.906,72.853,72.853,268720.0
2019-08-05,72.414,72.853,68.639,68.991,359980.0
2019-08-06,68.464,68.903,67.586,67.586,173600.0
2019-08-07,67.586,68.727,65.918,66.27,100880.0
2019-08-08,66.27,70.219,66.27,70.132,193150.0
2019-08-09,69.868,70.132,68.464,68.464,105190.0
2019-08-12,68.464,68.727,68.464,68.464,38810.0
2019-08-13,68.464,68.464,67.674,67.85,158390.0
2019-08-14,68.113,69.254,68.113,68.903,88740.0
2019-08-15,68.025,68.815,67.411,68.815,92830.0
2019-08-16,68.464,68.464,67.586,67.674,144210.0
2019-08-19,68.376,68.376,67.411,68.201,42400.0
2019-08-20,68.376,68.376,67.147,67.586,128690.0
2019-08-21,67.586,68.288,67.498,68.288,85620.0
