Time,Open,High,Low,Close,Volume
1/2/2019 12:00:00 AM,79.787,79.787,78.119,78.119,87080
1/3/2019 12:00:00 AM,79.436,79.875,77.593,78.295,55310
1/4/2019 12:00:00 AM,78.295,78.295,75.486,77.768,96940
1/7/2019 12:00:00 AM,78.558,79.699,76.978,77.768,92970
1/8/2019 12:00:00 AM,77.768,77.768,77.241,77.417,36610
1/9/2019 12:00:00 AM,75.486,78.997,75.486,78.119,100610
1/10/2019 12:00:00 AM,77.329,79.085,77.329,78.558,49800
1/11/2019 12:00:00 AM,79.348,79.787,78.558,79.348,32020
1/14/2019 12:00:00 AM,79.26,79.26,77.241,77.68,26560
1/15/2019 12:00:00 AM,77.68,78.47,77.329,77.856,42400
1/16/2019 12:00:00 AM,78.909,78.997,77.944,78.997,41990
1/17/2019 12:00:00 AM,78.997,81.104,78.997,80.665,51470
1/18/2019 12:00:00 AM,79.085,80.752,79.085,80.665,38310
1/21/2019 12:00:00 AM,80.752,81.191,79.875,80.752,22660
1/22/2019 12:00:00 AM,81.104,81.104,78.997,78.997,57790
1/23/2019 12:00:00 AM,80.665,80.665,78.997,79.611,39100
1/24/2019 12:00:00 AM,79.875,80.314,78.997,79.26,33490
1/25/2019 12:00:00 AM,79.26,80.752,79.26,80.665,21490
1/28/2019 12:00:00 AM,82.42,82.42,80.752,81.718,39180
1/29/2019 12:00:00 AM,82.069,82.859,80.84,82.859,51580
1/30/2019 12:00:00 AM,79.524,84.966,79.524,84.702,125610
1/31/2019 12:00:00 AM,85.141,85.141,80.928,80.928,79540
2/1/2019 12:00:00 AM,84.263,84.263,81.894,84,54770
2/11/2019 12:00:00 AM,83.386,84,83.386,83.825,64480
2/12/2019 12:00:00 AM,83.825,83.825,83.386,83.473,77860
2/13/2019 12:00:00 AM,83.825,86.019,82.947,84.702,111960
2/14/2019 12:00:00 AM,85.141,86.458,84.527,84.527,122040
2/15/2019 12:00:00 AM,85.141,85.756,83.386,83.825,88230
2/18/2019 12:00:00 AM,83.825,84.966,80.928,81.63,91670
2/19/2019 12:00:00 AM,82.069,83.298,81.718,82.683,30770
2/20/2019 12:00:00 AM,82.683,84.702,82.508,84.263,88130
2/21/2019 12:00:00 AM,84.263,84.263,83.561,83.737,114100
2/22/2019 12:00:00 AM,84.263,85.931,83.386,84.702,147330
2/25/2019 12:00:00 AM,84.702,85.492,83.035,83.298,180880
2/26/2019 12:00:00 AM,83.298,84.176,81.63,81.806,114570
2/27/2019 12:00:00 AM,82.508,83.825,81.894,83.561,74070
2/28/2019 12:00:00 AM,83.561,84.088,82.157,82.508,153040
3/1/2019 12:00:00 AM,82.947,82.947,81.894,82.245,56320
3/4/2019 12:00:00 AM,82.245,84.966,82.245,84.702,119450
3/5/2019 12:00:00 AM,83.473,86.37,83.473,86.282,300850
3/6/2019 12:00:00 AM,86.282,86.458,85.405,86.019,73310
3/7/2019 12:00:00 AM,86.194,86.458,84.702,84.79,92910
